Country,Clicks,Impressions,CTR,Position
South Africa,107,3888,2.75%,15.17
United States,1,435,0.23%,10.1
United Kingdom,1,49,2.04%,26.8
Nigeria,1,9,11.11%,21
Singapore,1,7,14.29%,36.29
Ireland,1,5,20%,2.8
Taiwan,1,4,25%,5.5
Oman,1,2,50%,2
Australia,0,50,0%,55.68
Canada,0,38,0%,5.95
Brazil,0,29,0%,25.34
India,0,25,0%,16.12
Germany,0,19,0%,14.37
China,0,11,0%,4.91
Hong Kong,0,8,0%,5.38
Netherlands,0,8,0%,6.5
France,0,8,0%,6.75
Switzerland,0,7,0%,2.57
Italy,0,6,0%,3
Mexico,0,6,0%,7.5
United Arab Emirates,0,6,0%,12
Kenya,0,6,0%,18.83
Vietnam,0,6,0%,31
Spain,0,5,0%,5.8
Zimbabwe,0,5,0%,7.4
New Zealand,0,5,0%,42.2
Saudi Arabia,0,4,0%,4
Thailand,0,4,0%,4
Iraq,0,4,0%,6.25
Indonesia,0,4,0%,7
Malawi,0,4,0%,39.5
Malaysia,0,3,0%,5.33
Argentina,0,3,0%,6
Poland,0,3,0%,6
Japan,0,3,0%,7.67
Pakistan,0,3,0%,15
Colombia,0,3,0%,23.67
Philippines,0,3,0%,32
Paraguay,0,2,0%,3
Chile,0,2,0%,4.5
Portugal,0,2,0%,5
Turkey,0,2,0%,6.5
Norway,0,2,0%,7
Ecuador,0,2,0%,8
Mauritius,0,2,0%,8.5
Austria,0,2,0%,10.5
Croatia,0,2,0%,12
Peru,0,2,0%,16.5
Ukraine,0,2,0%,25
Bulgaria,0,1,0%,1
Morocco,0,1,0%,1
Sweden,0,1,0%,2
Tunisia,0,1,0%,2
Venezuela,0,1,0%,2
North Korea,0,1,0%,4
Puerto Rico,0,1,0%,5
Angola,0,1,0%,6
Iran,0,1,0%,6
Swaziland,0,1,0%,6
Congo - Brazzaville,0,1,0%,7
Costa Rica,0,1,0%,7
Algeria,0,1,0%,7
Belgium,0,1,0%,8
Bolivia,0,1,0%,8
Nepal,0,1,0%,8
Belarus,0,1,0%,9
Côte d’Ivoire,0,1,0%,9
Israel,0,1,0%,9
Uganda,0,1,0%,9
Serbia,0,1,0%,10
Tanzania,0,1,0%,11
Ghana,0,1,0%,15
South Korea,0,1,0%,21
Senegal,0,1,0%,30
Guatemala,0,1,0%,32
Cyprus,0,1,0%,40
Russia,0,1,0%,43
Jamaica,0,1,0%,44
