name,code,category,retail_price,cost_price,description
"HIK HD-TVI 4Ch Hi-Res DVR 4 Cam Base Kit","SP150-5","Surveillance",3422.00,2395.00,""
"HIK HD-TVI 8Ch Hi-Res DVR 8 Cam Base Kit","SP151-5","Surveillance",4336.00,3252.00,""
"HIK HD-TVI 16Ch HiResDVR 16 Cam Base Kit","SP152-5","Surveillance",7962.00,5971.00,"HD-TVI"
"Bullet 2MP CV PIR 2.8mm","CC376-8","Surveillance",1625.00,1107.00,"DS-2CE12DF3T-PIRXOS(2.8mm)(O-S"
"HD-TVI Bullet 2MP HL Audio 2.8mm","CC376-13","Surveillance",525.00,359.00,"DS-2CE16D0T-LPFS(2.8mm)(O-STD)"
"HD-TVI Bullet 2MP CV HL 20m 2.8mm","CC376-15","Surveillance",1001.00,686.00,"DS-2CE10DF3T-LPFS"
"2.8mm HD-TVI Bullet 2MP CV HL IR20m 2.8mm","CC376-16","Surveillance",703.00,485.00,"DS-2CE10DF0T-LFS(2.8mm)(O-STD)"
"HD-TVI Bullet 2MP CV HL 40m 2.8mm","CC376-17","Surveillance",1163.00,788.00,"DS-2CE12DF3T-LFS(2.8mm)(O-STD)"
"HD-TVI Bullet 2MP IR 40m VF","CC379","Surveillance",1093.00,749.00,"DS-2CE19D0T-VFIT3F(2.7-13.5mm)"
"HD-TVI Bullet 3K CV HL Audio 2.8mm","CC268-2","Surveillance",912.00,677.00,"DS-2CE10KF0T-LFS"
"(2.8mm)(O-STD HD-TVI Bullet 3K CV HL Audio 2.8mm","CC268-3","Surveillance",1220.00,835.00,"DS-2CE12KF0T-LFS(2.8mm)"
"HD-TVI Bullet 5MP EXIR IR40m MVF","CC268-4","Surveillance",1691.00,1159.00,"DS-2CE19H0T-AIT3ZF"
"HD-TVI Bullet 3K HL Audio 2.8mm","CC268-5","Surveillance",711.00,480.00,""
"NEW DS-2CE16K0T-LFS(2.8mm)(O-STD) HD-TVI Dome 2MP CV HL IR20m 2.8mm","CC386-15","Surveillance",699.00,482.00,"DS-2CE70DF0T-LMFS(2.8mm)(O-STD"
"HD-TVI Dome 2MP IR20m 2.8mm","CC386-16","Surveillance",332.00,227.00,"DS-2CE76D0T-EXIMF"
"2.8mm HD-TVI Dome 2MP HL 20m 2.8mm IP67","CC386-17","Surveillance",515.00,355.00,"DS-2CE76D0T-LMFS(2.8mm)(O-STD)"
"HD-TVI Dome 2MP HL 40m Audio 2.8mm","CC386-18","Surveillance",720.00,493.00,"DS-2CE78D0T-LTS(2.8mm)(O-STD)"
"HD-TVI Dome 2MP CV 40m Audio 2.8mm","CC386-19","Surveillance",1165.00,798.00,"DS-2CE72DF3T-LXTS(2.8mm)(O-STD"
"HD-TVI Dome 2MP EXIR 30m 3.6mm","CC387-1","Surveillance",709.00,489.00,"DS-2CE76D3T-ITMF"
"HD-TVI Turret 2MP IR 40m VF","CC388-2","Surveillance",1089.00,745.00,"DS-2CE79D0T-VFIT3F"
"(2.7-13.5mm HD-TVI Dome 5MP EXIR IR60m MVF","CC269-1","Surveillance",2356.00,1614.00,"DS-2CE56H8T-AITZF"
"HD-TVI Dome 3K HL Audio 2.8mm","CC269-2","Surveillance",771.00,528.00,"DS-2CE78K0T-LFS(2.8mm)"
"HD-TVI Dome 3K HL Audio 2.8mm","CC269-3","Surveillance",751.00,499.00,"DS-2CE76K0T-LMFS(2.8mm)"
"Analogue PTZ Keyboard Controller","CC95-1","Surveillance",5088.00,3476.00,"DS-1006KI"
"BRKT PTZ Pendant Mnt CC99/CC99-1","CC468-2","Surveillance",524.00,358.00,"DS-1662ZJ"
"BRKT PTZ Corner Mount White","CC468-3","Surveillance",658.00,445.00,"DS-1602ZJ-CORNER"
"BRKT PTZ Pole Mount White","CC468-4","Surveillance",658.00,451.00,"DS-1602ZJ-Pole"
"BRKT Compact PTZ Wall Mount White","CC468-5","Surveillance",445.00,305.00,"DS-1602ZJ"
"BRKT Speed Dome EI Coupling Ring","CC468-10","Surveillance",100.00,68.00,""
"NVR 8Ch 80Mbps 8PoE incl 4TBHDD","CD70-6","Surveillance",8402.00,5740.00,"DS-7608NXI-K2/8P"
"+ HDD NVR 8Ch 80Mbps No PoE","CD71-4","Surveillance",3136.00,2149.00,"DS-7608NXI-K2"
"NVR 16Ch 160Mbps No PoE","CD72-4","Surveillance",3587.00,2449.00,"DS-7616NXI-K2(D)"
"NVR 16Ch 160Mbps No PoE","CD75","Surveillance",6963.00,4757.00,"DS-7616NXI-I2/S"
"NVR 16Ch 160Mbps 16PoE","CD76-9","Surveillance",7169.00,4887.00,"DS-7616NXI-K2/16P"
"NVR 16Ch 160Mbps 16 PoE Eco","CD76-10","Surveillance",5852.00,3998.00,""
"EOL DS-7616NI-Q2/16P(STD)(D) NVR 16Ch 256Mbps AS No PoE 4FAF","CD90","Surveillance",11638.00,7998.00,"DS-7716NXI-I4/S(STD)(E)"
"NVR 16Ch 256Mbps AS 16PoE 4FAF","CD92","Surveillance",15152.00,10352.00,"DS-7716NXI-I4/16P/S(STD)(E)"
"NVR 16Ch 320Mbps DeepInMind No PoE","CD94","Surveillance",50029.00,34182.14,"iDS-9616NXI-I8/X"
"NVR 32CH 256Mbps with No PoE no HDD","CD73-6","Surveillance",8783.00,6020.00,"DS-7632NXI-K2"
"NVR 32Ch 320Mbps AS No PoE 8SATA","CD74","Surveillance",26802.00,18493.00,"DS-9632NXI-I8/S(STD)(E)"
"NVR 32Ch 256Mbps AS No PoE 4FAF","CD91","Surveillance",13366.00,9222.00,"DS-7732NXI-I4/S(STD)(E)"
"NVR 32Ch 256Mbps AS 16PoE 4FAF","CD93","Surveillance",18294.00,12499.00,"DS-7732NXI-I4/16P/S"
"NVR 32Ch 320Mbps DeepInMind No PoE","CD95-4","Surveillance",51210.00,35095.00,""
"New iDS-9632NXI-M8/X(STD) NVR 64Ch 320Mbps AS No PoE 8SATA","CD77","Surveillance",37499.00,25874.00,"DS-9664NXI-I8/S(STD)(E)"
"NVR 64CH 400Mbps No PoE","CD77-3","Surveillance",22677.00,15529.00,""
"New DS-7764NI-M4(STD) NVR 64CH 400Mbps DeepInMind X No PoE","CD95-5","Surveillance",69011.00,47617.00,""
"On Request iDS-9664NXI-M8/X(STD) General Purpose Server (3000ch max)","CDC999-HC2","Surveillance",99892.52,68515.79,""
"On Request DS-VE11D-C/HW01 iVMS 9000NI Server S16R","CDC999-S16R","Surveillance",250886.00,173111.00,""
"New iVMS-9000NI-S16R/C1000(STD) HikCentral Management Server 300 Channel","CDC300-HC2","Surveillance",271366.00,185999.00,""
"New HikCentral-P-VER/HW1D/300 IP Bullet 4MP HL IR 30m 2.8mm","CC400-6","Surveillance",1935.00,1310.00,"DS-2CD2041G0-LIU(2.8mm)(South"
"IP Bullet 2MP HL IR 30m 2.8mm","CC400-8","Surveillance",1765.00,1208.00,"DS-2CD2021G0-LIU(2.8mm)(South"
